"","id","x","y","shape"
"1",1,5.13622189310278,-13.5469136980239,"circle"
"2",2,5.40716760342384,-7.45654312575637,"circle"
"3",3,4.9303451869871,-11.5047965932418,"rectangle"
"4",4,4.75233565838067,7.67288067904176,"triangle"
"5",5,5.69555080661964,-11.9076968763763,"square"
"6",6,6.1462283572158,-19.3500353846891,"triangle"
"7",7,2.59690378510813,21.2134699449252,"triangle"
"8",8,5.57273955524584,11.0597348761217,"rectangle"
"9",9,5.37472440677865,9.17123601225002,"rectangle"
"10",10,4.57473227844392,-5.63988283577244,"square"
"11",11,5.95101280757682,0.887187687496029,"square"
"12",12,4.61076281828162,7.19677256209794,"square"
"13",13,4.71566933820043,-11.812387419642,"rectangle"
"14",14,5.8574097780798,-0.242613263760481,"circle"
"15",15,6.7196272991206,2.75741654501771,"triangle"
"16",16,5.27005490093723,17.9277379447271,"circle"
"17",17,4.57781599021236,7.42132717206933,"rectangle"
"18",18,3.81088670514041,13.8223303234921,"triangle"
"19",19,4.66896702112099,2.40546973547383,"circle"
"20",20,4.06017067348998,-10.1250268318057,"triangle"
"21",21,4.74106741688122,-2.39676971961898,"triangle"
"22",22,5.39437916822157,-15.6476463926247,"square"
"23",23,4.14814290797614,10.2885176172027,"rectangle"
"24",24,7.64916688109488,15.1682683471578,"square"
"25",25,5.15601167566508,0.372792223729858,"circle"
"26",26,6.13020726745494,-8.80902336097871,"circle"
"27",27,2.71087602015989,11.8715025123701,"square"
"28",28,5.74100115719544,2.39327026560685,"circle"
"29",29,3.68375483954844,-2.86272097673785,"triangle"
"30",30,5.91980367760914,12.2358542318002,"circle"
"31",31,5.39813015545196,-6.59845657357593,"circle"
"32",32,4.59247142073023,12.4895910322903,"rectangle"
"33",33,6.32425863017727,-7.4247625893675,"circle"
"34",34,4.29876833075308,4.91413340392769,"square"
"35",35,4.41938569575946,9.91377242318638,"triangle"
"36",36,3.99892781897458,-12.3525871255432,"rectangle"
